Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,24,OKC,57,915,8.4,.547,.733,.165,2.6,9.5,5.9,3.3,1.7,0.6,8.7,13.1,"",0.8,0.8,1.6,.083,"",-1.2,-1.6,-2.8,-0.2
2,Quincy Acy\acyqu01,PF,27,BRK,55,1120,7.1,.501,.787,.195,3.4,17.9,10.6,5.8,1.2,1.3,15.5,14.2,"",-0.5,1.0,0.5,.021,"",-2.9,0.1,-2.7,-0.2
3,Steven Adams\adamsst01,C,24,OKC,58,1896,21.2,.637,.004,.375,17.2,13.9,15.6,4.9,1.9,3.0,12.7,16.5,"",5.4,2.4,7.8,.198,"",2.4,1.1,3.5,2.6
4,Bam Adebayo\adebaba01,C,20,MIA,52,1055,17.1,.603,.024,.578,8.9,21.0,15.0,12.2,1.3,2.8,13.3,15.4,"",2.3,1.6,3.8,.174,"",-0.7,2.3,1.6,1.0
5,Arron Afflalo\afflaar01,SG,32,ORL,45,574,5.3,.505,.425,.179,0.6,11.3,5.9,6.0,0.2,1.0,11.1,12.4,"",-0.1,0.1,0.0,-0.004,"",-4.1,-2.0,-6.1,-0.6
6,Cole Aldrich\aldrico01,C,29,MIN,15,31,6.7,.340,.000,.400,11.1,18.9,15.0,4.3,3.2,2.9,7.8,18.2,"",-0.1,0.0,0.0,-0.014,"",-6.6,0.2,-6.4,0.0
7,LaMarcus Aldridge\aldrila01,C,32,SAS,57,1915,24.1,.564,.077,.296,10.9,16.2,13.6,11.1,0.8,2.9,7.0,28.6,"",5.3,2.6,8.0,.200,"",2.6,0.1,2.6,2.3
8,Jarrett Allen\allenja01,C,19,BRK,53,989,18.3,.631,.031,.343,10.7,18.7,14.6,6.3,1.1,3.5,13.1,16.7,"",2.1,1.1,3.2,.156,"",-0.8,1.2,0.5,0.6
9,Kadeem Allen\allenka01,PG,25,BOS,7,27,-1.8,.322,.500,.667,4.1,7.9,6.1,4.9,1.9,0.0,27.9,17.8,"",-0.1,0.0,-0.1,-0.146,"",-9.9,-0.4,-10.4,-0.1
10,Tony Allen\allento01,SF,36,NOP,22,273,8.7,.514,.132,.231,8.3,10.6,9.5,4.7,1.9,0.9,15.9,18.9,"",-0.1,0.2,0.1,.013,"",-4.0,-1.5,-5.5,-0.2
11,Al-Farouq Aminu\aminual01,PF,27,POR,48,1443,12.1,.538,.571,.134,4.6,21.9,13.4,5.2,1.5,1.6,10.1,14.5,"",1.0,2.1,3.0,.101,"",-0.7,1.3,0.6,0.9
12,Justin Anderson\anderju01,SF,24,PHI,26,365,12.8,.545,.474,.188,5.3,12.7,9.1,6.2,1.5,1.2,5.9,17.9,"",0.5,0.4,0.9,.115,"",-0.5,-1.5,-2.0,0.0
13,Kyle Anderson\anderky01,SF,24,SAS,54,1483,15.4,.573,.111,.336,4.7,18.4,11.6,14.4,2.5,2.6,16.0,13.8,"",1.6,2.8,4.4,.143,"",-0.7,4.0,3.3,2.0
14,Ryan Anderson\anderry01,PF,29,HOU,57,1570,12.7,.593,.707,.187,6.2,15.7,11.0,5.0,0.7,1.0,7.9,14.6,"",2.8,1.4,4.2,.128,"",1.1,-0.9,0.2,0.9
15,Ike Anigbogu\anigbik01,C,19,IND,10,28,23.1,.558,.000,.667,20.5,15.9,18.2,0.0,1.8,9.4,14.7,21.7,"",0.1,0.0,0.1,.174,"",-4.0,-1.6,-5.6,0.0
16,Giannis Antetokounmpo\antetgi01,PF,23,MIL,57,2116,28.0,.600,.093,.469,6.8,25.6,16.2,24.6,1.9,3.2,11.2,31.4,"",6.9,2.9,9.8,.223,"",4.4,2.1,6.5,4.5
17,Carmelo Anthony\anthoca01,PF,33,OKC,60,1941,13.3,.505,.386,.172,2.5,18.5,10.2,6.5,1.0,1.8,7.0,24.1,"",1.1,2.0,3.2,.078,"",-1.9,-2.0,-3.9,-0.9
18,OG Anunoby\anunoog01,SF,20,TOR,60,1228,9.8,.572,.582,.178,3.3,9.8,6.6,5.2,1.9,0.6,10.4,12.3,"",1.1,1.4,2.5,.097,"",0.2,0.5,0.7,0.8
19,Ryan Arcidiacono\arcidry01,PG,23,CHI,13,120,6.8,.582,.833,.167,0.0,6.5,3.1,14.3,2.0,0.0,18.9,5.8,"",0.1,0.1,0.2,.064,"",-3.2,-1.1,-4.2,-0.1
20,Trevor Ariza\arizatr01,SF,32,HOU,48,1663,12.3,.593,.738,.135,1.9,13.3,7.6,6.4,2.1,0.5,7.6,13.9,"",2.3,1.9,4.2,.121,"",1.4,0.6,2.0,1.7
