Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,24,OKC,57,8,16.1,1.6,4.1,.381,1.1,3.0,.364,0.5,1.1,.429,.515,0.6,0.7,.872,0.4,1.3,1.7,0.4,0.5,0.1,0.4,1.8,4.9
2,Quincy Acy\acyqu01,PF,27,BRK,55,8,20.4,1.7,5.2,.334,1.3,4.1,.327,0.4,1.1,.361,.463,0.8,1.0,.821,0.7,3.4,4.1,0.8,0.5,0.3,1.0,2.1,5.7
3,Steven Adams\adamsst01,C,24,OKC,58,58,32.7,5.9,9.4,.634,0.0,0.0,.000,5.9,9.3,.637,.634,2.0,3.5,.574,5.2,3.9,9.1,1.0,1.2,1.1,1.6,2.9,13.9
4,Bam Adebayo\adebaba01,C,20,MIA,52,11,20.3,2.6,4.8,.546,0.0,0.1,.000,2.6,4.7,.560,.546,2.0,2.8,.729,1.6,3.8,5.4,1.6,0.5,0.7,0.9,2.0,7.3
5,Arron Afflalo\afflaar01,SG,32,ORL,45,2,12.8,1.2,3.0,.388,0.5,1.3,.386,0.7,1.7,.390,.470,0.4,0.5,.833,0.1,1.3,1.4,0.6,0.0,0.2,0.4,1.1,3.2
6,Cole Aldrich\aldrico01,C,29,MIN,15,0,2.1,0.2,0.7,.300,0.0,0.0,"",0.2,0.7,.300,.300,0.1,0.3,.500,0.2,0.3,0.5,0.1,0.1,0.1,0.1,0.5,0.5
7,LaMarcus Aldridge\aldrila01,C,32,SAS,57,57,33.6,8.8,17.6,.501,0.4,1.4,.325,8.4,16.3,.516,.514,4.4,5.2,.838,3.3,4.9,8.2,2.0,0.5,1.2,1.5,2.2,22.5
8,Jarrett Allen\allenja01,C,19,BRK,53,12,18.7,3.2,5.5,.588,0.1,0.2,.333,3.2,5.3,.596,.593,1.5,1.9,.778,1.9,3.3,5.2,0.7,0.4,0.9,0.9,1.9,7.9
9,Kadeem Allen\allenka01,PG,25,BOS,7,0,3.9,0.1,0.9,.167,0.0,0.4,.000,0.1,0.4,.333,.167,0.4,0.6,.750,0.1,0.3,0.4,0.1,0.1,0.0,0.4,0.3,0.7
10,Tony Allen\allento01,SF,36,NOP,22,0,12.4,2.0,4.1,.484,0.2,0.5,.333,1.8,3.6,.506,.505,0.5,1.0,.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7
11,Al-Farouq Aminu\aminual01,PF,27,POR,48,46,30.1,3.4,8.4,.407,1.9,4.8,.396,1.5,3.6,.422,.520,0.8,1.1,.741,1.3,6.1,7.4,1.1,0.9,0.6,1.0,1.8,9.6
12,Justin Anderson\anderju01,SF,24,PHI,26,0,14.0,2.3,5.1,.444,0.8,2.4,.349,1.4,2.7,.529,.526,0.7,1.0,.680,0.7,1.7,2.3,0.6,0.4,0.2,0.3,1.5,6.0
13,Kyle Anderson\anderky01,SF,24,SAS,54,48,27.5,3.2,6.2,.517,0.2,0.7,.297,3.0,5.5,.544,.533,1.5,2.1,.741,1.2,4.6,5.7,2.7,1.4,0.9,1.4,1.5,8.1
14,Ryan Anderson\anderry01,PF,29,HOU,57,50,27.5,3.4,7.8,.433,2.1,5.5,.383,1.3,2.3,.554,.569,1.1,1.5,.783,1.5,3.8,5.3,0.9,0.4,0.3,0.7,1.9,10.0
15,Ike Anigbogu\anigbik01,C,19,IND,10,0,2.8,0.4,0.9,.444,0.0,0.0,"",0.4,0.9,.444,.444,0.5,0.6,.833,0.5,0.4,0.9,0.0,0.1,0.3,0.2,0.1,1.3
16,Giannis Antetokounmpo\antetgi01,PF,23,MIL,57,57,37.1,10.0,18.8,.533,0.5,1.8,.290,9.5,17.1,.558,.547,6.7,8.8,.755,2.1,8.1,10.2,4.9,1.4,1.4,2.9,3.1,27.2
17,Carmelo Anthony\anthoca01,PF,33,OKC,60,60,32.4,6.4,15.6,.409,2.1,6.0,.352,4.3,9.6,.445,.477,2.1,2.7,.770,0.8,5.2,5.9,1.3,0.6,0.6,1.3,2.7,17.0
18,OG Anunoby\anunoog01,SF,20,TOR,60,48,20.5,2.2,4.8,.453,1.0,2.8,.353,1.2,2.0,.592,.556,0.6,0.9,.686,0.6,1.8,2.4,0.8,0.8,0.2,0.6,1.7,5.9
19,Ryan Arcidiacono\arcidry01,PG,23,CHI,13,0,9.2,0.4,0.9,.417,0.2,0.8,.300,0.2,0.2,1.000,.542,0.2,0.2,1.000,0.0,0.5,0.5,1.0,0.4,0.0,0.2,0.8,1.2
20,Trevor Ariza\arizatr01,SF,32,HOU,48,48,34.6,4.1,9.5,.426,2.8,7.0,.391,1.3,2.5,.525,.570,1.1,1.3,.871,0.6,4.1,4.6,1.5,1.5,0.2,0.8,1.9,12.0
21,Darrell Arthur\arthuda01,PF,29,DEN,15,1,8.6,1.3,2.8,.476,0.4,1.3,.316,0.9,1.5,.609,.548,0.1,0.2,.667,0.2,0.8,1.0,0.6,0.5,0.1,1.0,1.3,3.2
22,Jamel Artis\artisja01,SG,25,ORL,5,0,11.0,0.8,3.4,.235,0.0,1.0,.000,0.8,2.4,.333,.235,0.2,0.6,.333,0.2,1.2,1.4,0.8,0.0,0.0,0.0,0.0,1.8
23,Omer Asik\asikom01,C,31,NOP,14,0,8.6,0.5,1.1,.438,0.0,0.0,"",0.5,1.1,.438,.438,0.3,0.9,.333,0.5,2.1,2.6,0.1,0.1,0.1,0.4,1.0,1.3
24,D.J. Augustin\augusdj01,PG,30,ORL,54,15,21.6,2.8,6.4,.431,1.4,3.4,.413,1.4,3.0,.451,.540,2.1,2.4,.862,0.3,1.6,1.9,3.4,0.8,0.0,1.4,1.2,9.0
25,Luke Babbitt\babbilu01,SF,28,TOT,40,9,14.9,2.1,4.4,.469,1.3,3.0,.432,0.8,1.4,.544,.614,0.4,0.6,.773,0.2,2.0,2.2,0.7,0.2,0.1,0.4,1.3,5.8
26,Dwayne Bacon\bacondw01,SG,22,CHO,40,6,12.1,1.1,3.1,.361,0.3,0.8,.303,0.9,2.2,.382,.402,0.3,0.4,.714,0.1,2.3,2.3,0.6,0.2,0.1,0.4,0.9,2.7
27,Ron Baker\bakerro01,SG,24,NYK,29,1,13.3,0.7,2.0,.339,0.4,1.1,.333,0.3,0.9,.346,.432,0.7,0.9,.769,0.2,0.9,1.0,1.6,0.9,0.2,0.6,1.1,2.4
28,Lonzo Ball\balllo01,PG,20,LAL,38,36,33.3,3.9,10.8,.363,1.7,5.4,.319,2.2,5.4,.406,.442,0.7,1.4,.500,1.3,5.8,7.1,7.0,1.5,0.8,2.7,2.1,10.2
29,J.J. Barea\bareajo01,PG,33,DAL,57,5,23.5,4.3,10.0,.431,1.6,4.6,.360,2.6,5.4,.492,.514,1.3,1.7,.781,0.2,2.8,3.0,6.3,0.5,0.1,1.9,1.3,11.6
30,Harrison Barnes\barneha02,PF,25,DAL,60,60,34.4,6.8,15.2,.449,1.4,4.1,.348,5.4,11.2,.486,.496,3.3,3.9,.833,1.1,5.4,6.4,1.9,0.7,0.2,1.5,1.3,18.3
31,Will Barton\bartowi01,SG,27,DEN,60,26,32.6,5.5,12.3,.450,1.9,5.1,.366,3.7,7.3,.508,.525,2.1,2.6,.783,0.8,4.1,4.9,4.1,1.1,0.6,1.8,2.0,15.0
32,Nicolas Batum\batumni01,SG,29,CHO,48,48,31.4,4.4,10.6,.410,1.5,4.7,.326,2.8,6.0,.476,.481,1.6,1.9,.806,0.8,3.6,4.4,5.2,1.1,0.3,2.0,1.2,11.8
33,Jerryd Bayless\bayleje01,SG,29,PHI,39,11,23.7,2.8,6.7,.416,1.4,3.7,.370,1.4,3.0,.474,.519,0.9,1.1,.795,0.4,1.7,2.1,1.4,0.6,0.2,1.2,2.3,7.9
34,Aron Baynes\baynear01,C,31,BOS,62,48,17.9,2.5,5.2,.477,0.0,0.1,.000,2.5,5.0,.490,.477,0.8,1.1,.735,1.4,3.8,5.2,1.0,0.3,0.7,0.9,2.4,5.7
35,Kent Bazemore\bazemke01,SG,28,ATL,61,61,27.8,4.3,10.4,.414,1.6,4.2,.384,2.7,6.2,.435,.492,2.6,3.2,.796,0.4,3.6,4.0,3.6,1.6,0.7,2.4,2.3,12.8
36,Bradley Beal\bealbr01,SG,24,WAS,62,62,36.4,8.6,18.6,.462,2.4,6.5,.373,6.1,12.0,.510,.527,3.8,4.8,.795,0.8,3.7,4.5,4.5,1.2,0.5,2.6,1.9,23.4
37,Malik Beasley\beaslma01,SG,21,DEN,52,0,10.1,1.2,3.1,.400,0.4,1.3,.300,0.8,1.7,.478,.466,0.3,0.5,.654,0.3,1.0,1.3,0.5,0.3,0.1,0.4,0.7,3.2
38,Michael Beasley\beaslmi01,PF,29,NYK,55,14,21.0,5.2,10.5,.495,0.4,1.0,.407,4.8,9.5,.504,.514,1.9,2.4,.786,1.3,4.1,5.4,1.4,0.5,0.6,1.9,1.8,12.6
39,Marco Belinelli\belinma01,SG,31,TOT,57,1,23.6,3.9,9.3,.414,1.8,4.8,.373,2.1,4.6,.458,.509,1.9,2.1,.924,0.2,1.6,1.9,1.9,0.9,0.1,1.1,0.9,11.4
40,Jordan Bell\belljo01,C,23,GSW,40,11,14.2,2.2,3.3,.669,0.0,0.1,.000,2.2,3.3,.685,.669,0.5,0.8,.656,1.2,2.6,3.8,1.8,0.7,1.0,1.0,1.8,5.0
41,DeAndre' Bembry\bembrde01,SF,23,ATL,21,0,17.3,1.9,4.8,.396,0.4,1.1,.333,1.5,3.7,.416,.436,0.7,1.2,.600,0.4,2.3,2.7,1.5,0.6,0.5,1.8,1.5,4.9
